==================== AXHL REGULAR SEASON SCHEDULE - Created by Dakota ====================
Seed: 470499423435505196
 
"(HOME) Albany Devils VS (AWAY) Washington Capitals -> 2025-02-23, 9:55PM EST"
"(HOME) Columus Cottonmouths VS (AWAY) Toronto Maple Leafs -> 2025-02-24, 9:55PM EST"
"(HOME) Dallas Stars VS (AWAY) Toeldo Walleye -> 2025-02-24, 9:55PM EST"
"(HOME) Detroit Red Wings VS (AWAY) TampaBay Lightning -> 2025-02-24, 9:55PM EST"
"(HOME) Edmonton Oilers VS (AWAY) Syracuse Crunch -> 2025-02-24, 9:55PM EST"
"(HOME) Edmonton Road Runners VS (AWAY) Springfield Thunderbirds -> 2025-02-24, 9:55PM EST"
"(HOME) Florida Panthers VS (AWAY) San Jose Sharks -> 2025-02-24, 9:55PM EST"
"(HOME) Grand Rapids Griffins VS (AWAY) Saint John Sea Dogs -> 2025-02-24, 9:55PM EST"
"(HOME) Greenville Swamp Rabbits VS (AWAY) Pittsburgh Penguins -> 2025-02-24, 9:55PM EST"
"(HOME) Hershey Bears VS (AWAY) Ontario Reign -> 2025-02-24, 9:55PM EST"
"(HOME) Iowa Heartlanders VS (AWAY) New York Rangers -> 2025-02-24, 9:55PM EST"
"(HOME) Jacksonville Icemen VS (AWAY) New Jersey Devils -> 2025-02-24, 9:55PM EST"
"(HOME) Lehigh Valley Phantoms VS (AWAY) New Haven Eagles -> 2025-02-24, 9:55PM EST"
"(HOME) Los Angeles Kings VS (AWAY) Montreal Canadiens -> 2025-02-24, 9:55PM EST"
"(HOME) Manitoba Moose VS (AWAY) Minnesota Wild -> 2025-02-24, 9:55PM EST"
 
"(HOME) Calgary Flames VS (AWAY) Washington Capitals -> 2025-02-24, 10:35PM EST"
"(HOME) Carolina Hurricanes VS (AWAY) Brampton Beast -> 2025-02-24, 10:35PM EST"
"(HOME) Chicago Blackhawks VS (AWAY) Bloomington Bison -> 2025-02-24, 10:35PM EST"
"(HOME) Cincinnati Cyclones VS (AWAY) Albany Devils -> 2025-02-24, 10:35PM EST"
"(HOME) Cincinnati Mighty Ducks VS (AWAY) Vegas Golden Knights -> 2025-02-24, 10:35PM EST"
"(HOME) Columus Cottonmouths VS (AWAY) Vancouver Canucks -> 2025-02-24, 10:35PM EST"
"(HOME) Dallas Stars VS (AWAY) Utah HC -> 2025-02-24, 10:35PM EST"
"(HOME) Detroit Red Wings VS (AWAY) Toronto Maple Leafs -> 2025-02-24, 10:35PM EST"
"(HOME) Edmonton Oilers VS (AWAY) Toeldo Walleye -> 2025-02-24, 10:35PM EST"
"(HOME) Edmonton Road Runners VS (AWAY) TampaBay Lightning -> 2025-02-24, 10:35PM EST"
"(HOME) Florida Panthers VS (AWAY) Syracuse Crunch -> 2025-02-24, 10:35PM EST"
"(HOME) Grand Rapids Griffins VS (AWAY) Springfield Thunderbirds -> 2025-02-24, 10:35PM EST"
"(HOME) Greenville Swamp Rabbits VS (AWAY) San Jose Sharks -> 2025-02-24, 10:35PM EST"
"(HOME) Hershey Bears VS (AWAY) Saint John Sea Dogs -> 2025-02-24, 10:35PM EST"
"(HOME) Iowa Heartlanders VS (AWAY) Pittsburgh Penguins -> 2025-02-24, 10:35PM EST"
"(HOME) Jacksonville Icemen VS (AWAY) Ontario Reign -> 2025-02-24, 10:35PM EST"
"(HOME) Lehigh Valley Phantoms VS (AWAY) New York Rangers -> 2025-02-24, 10:35PM EST"
"(HOME) Los Angeles Kings VS (AWAY) New Jersey Devils -> 2025-02-24, 10:35PM EST"
"(HOME) Manitoba Moose VS (AWAY) New Haven Eagles -> 2025-02-24, 10:35PM EST"
"(HOME) Minnesota Wild VS (AWAY) Montreal Canadiens -> 2025-02-24, 10:35PM EST"
 
====================================================================================================
 
"(HOME) Carolina Hurricanes VS (AWAY) Washington Capitals -> 2025-02-25, 9:55PM EST"
"(HOME) Chicago Blackhawks VS (AWAY) Calgary Flames -> 2025-02-25, 9:55PM EST"
"(HOME) Cincinnati Cyclones VS (AWAY) Brampton Beast -> 2025-02-25, 9:55PM EST"
"(HOME) Cincinnati Mighty Ducks VS (AWAY) Bloomington Bison -> 2025-02-25, 9:55PM EST"
"(HOME) Columus Cottonmouths VS (AWAY) Albany Devils -> 2025-02-25, 9:55PM EST"
"(HOME) Dallas Stars VS (AWAY) Vegas Golden Knights -> 2025-02-25, 9:55PM EST"
"(HOME) Detroit Red Wings VS (AWAY) Vancouver Canucks -> 2025-02-25, 9:55PM EST"
"(HOME) Edmonton Oilers VS (AWAY) Utah HC -> 2025-02-25, 9:55PM EST"
"(HOME) Edmonton Road Runners VS (AWAY) Toronto Maple Leafs -> 2025-02-25, 9:55PM EST"
"(HOME) Florida Panthers VS (AWAY) Toeldo Walleye -> 2025-02-25, 9:55PM EST"
"(HOME) Grand Rapids Griffins VS (AWAY) TampaBay Lightning -> 2025-02-25, 9:55PM EST"
"(HOME) Greenville Swamp Rabbits VS (AWAY) Syracuse Crunch -> 2025-02-25, 9:55PM EST"
"(HOME) Hershey Bears VS (AWAY) Springfield Thunderbirds -> 2025-02-25, 9:55PM EST"
"(HOME) Iowa Heartlanders VS (AWAY) San Jose Sharks -> 2025-02-25, 9:55PM EST"
"(HOME) Jacksonville Icemen VS (AWAY) Saint John Sea Dogs -> 2025-02-25, 9:55PM EST"
"(HOME) Lehigh Valley Phantoms VS (AWAY) Pittsburgh Penguins -> 2025-02-25, 9:55PM EST"
"(HOME) Los Angeles Kings VS (AWAY) Ontario Reign -> 2025-02-25, 9:55PM EST"
"(HOME) Manitoba Moose VS (AWAY) New York Rangers -> 2025-02-25, 9:55PM EST"
"(HOME) Minnesota Wild VS (AWAY) New Jersey Devils -> 2025-02-25, 9:55PM EST"
"(HOME) Montreal Canadiens VS (AWAY) New Haven Eagles -> 2025-02-25, 9:55PM EST"
 
"(HOME) Chicago Blackhawks VS (AWAY) Washington Capitals -> 2025-02-25, 10:35PM EST"
"(HOME) Cincinnati Cyclones VS (AWAY) Carolina Hurricanes -> 2025-02-25, 10:35PM EST"
"(HOME) Cincinnati Mighty Ducks VS (AWAY) Calgary Flames -> 2025-02-25, 10:35PM EST"
"(HOME) Columus Cottonmouths VS (AWAY) Brampton Beast -> 2025-02-25, 10:35PM EST"
"(HOME) Dallas Stars VS (AWAY) Bloomington Bison -> 2025-02-25, 10:35PM EST"
"(HOME) Detroit Red Wings VS (AWAY) Albany Devils -> 2025-02-25, 10:35PM EST"
"(HOME) Edmonton Oilers VS (AWAY) Vegas Golden Knights -> 2025-02-25, 10:35PM EST"
"(HOME) Edmonton Road Runners VS (AWAY) Vancouver Canucks -> 2025-02-25, 10:35PM EST"
"(HOME) Florida Panthers VS (AWAY) Utah HC -> 2025-02-25, 10:35PM EST"
"(HOME) Grand Rapids Griffins VS (AWAY) Toronto Maple Leafs -> 2025-02-25, 10:35PM EST"
"(HOME) Greenville Swamp Rabbits VS (AWAY) Toeldo Walleye -> 2025-02-25, 10:35PM EST"
"(HOME) Hershey Bears VS (AWAY) TampaBay Lightning -> 2025-02-25, 10:35PM EST"
"(HOME) Iowa Heartlanders VS (AWAY) Syracuse Crunch -> 2025-02-25, 10:35PM EST"
"(HOME) Jacksonville Icemen VS (AWAY) Springfield Thunderbirds -> 2025-02-25, 10:35PM EST"
"(HOME) Lehigh Valley Phantoms VS (AWAY) San Jose Sharks -> 2025-02-25, 10:35PM EST"
"(HOME) Los Angeles Kings VS (AWAY) Saint John Sea Dogs -> 2025-02-25, 10:35PM EST"
"(HOME) Manitoba Moose VS (AWAY) Pittsburgh Penguins -> 2025-02-25, 10:35PM EST"
"(HOME) Minnesota Wild VS (AWAY) Ontario Reign -> 2025-02-25, 10:35PM EST"
"(HOME) Montreal Canadiens VS (AWAY) New York Rangers -> 2025-02-25, 10:35PM EST"
"(HOME) New Haven Eagles VS (AWAY) New Jersey Devils -> 2025-02-25, 10:35PM EST"
 
====================================================================================================
 
"(HOME) Cincinnati Cyclones VS (AWAY) Washington Capitals -> 2025-02-26, 9:55PM EST"
"(HOME) Cincinnati Mighty Ducks VS (AWAY) Chicago Blackhawks -> 2025-02-26, 9:55PM EST"
"(HOME) Columus Cottonmouths VS (AWAY) Carolina Hurricanes -> 2025-02-26, 9:55PM EST"
"(HOME) Dallas Stars VS (AWAY) Calgary Flames -> 2025-02-26, 9:55PM EST"
"(HOME) Detroit Red Wings VS (AWAY) Brampton Beast -> 2025-02-26, 9:55PM EST"
"(HOME) Edmonton Oilers VS (AWAY) Bloomington Bison -> 2025-02-26, 9:55PM EST"
"(HOME) Edmonton Road Runners VS (AWAY) Albany Devils -> 2025-02-26, 9:55PM EST"
"(HOME) Florida Panthers VS (AWAY) Vegas Golden Knights -> 2025-02-26, 9:55PM EST"
"(HOME) Grand Rapids Griffins VS (AWAY) Vancouver Canucks -> 2025-02-26, 9:55PM EST"
"(HOME) Greenville Swamp Rabbits VS (AWAY) Utah HC -> 2025-02-26, 9:55PM EST"
"(HOME) Hershey Bears VS (AWAY) Toronto Maple Leafs -> 2025-02-26, 9:55PM EST"
"(HOME) Iowa Heartlanders VS (AWAY) Toeldo Walleye -> 2025-02-26, 9:55PM EST"
"(HOME) Jacksonville Icemen VS (AWAY) TampaBay Lightning -> 2025-02-26, 9:55PM EST"
"(HOME) Lehigh Valley Phantoms VS (AWAY) Syracuse Crunch -> 2025-02-26, 9:55PM EST"
"(HOME) Los Angeles Kings VS (AWAY) Springfield Thunderbirds -> 2025-02-26, 9:55PM EST"
"(HOME) Manitoba Moose VS (AWAY) San Jose Sharks -> 2025-02-26, 9:55PM EST"
"(HOME) Minnesota Wild VS (AWAY) Saint John Sea Dogs -> 2025-02-26, 9:55PM EST"
"(HOME) Montreal Canadiens VS (AWAY) Pittsburgh Penguins -> 2025-02-26, 9:55PM EST"
"(HOME) New Haven Eagles VS (AWAY) Ontario Reign -> 2025-02-26, 9:55PM EST"
"(HOME) New Jersey Devils VS (AWAY) New York Rangers -> 2025-02-26, 9:55PM EST"
 
"(HOME) Cincinnati Mighty Ducks VS (AWAY) Washington Capitals -> 2025-02-26, 10:35PM EST"
"(HOME) Columus Cottonmouths VS (AWAY) Cincinnati Cyclones -> 2025-02-26, 10:35PM EST"
"(HOME) Dallas Stars VS (AWAY) Chicago Blackhawks -> 2025-02-26, 10:35PM EST"
"(HOME) Detroit Red Wings VS (AWAY) Carolina Hurricanes -> 2025-02-26, 10:35PM EST"
"(HOME) Edmonton Oilers VS (AWAY) Calgary Flames -> 2025-02-26, 10:35PM EST"
"(HOME) Edmonton Road Runners VS (AWAY) Brampton Beast -> 2025-02-26, 10:35PM EST"
"(HOME) Florida Panthers VS (AWAY) Bloomington Bison -> 2025-02-26, 10:35PM EST"
"(HOME) Grand Rapids Griffins VS (AWAY) Albany Devils -> 2025-02-26, 10:35PM EST"
"(HOME) Greenville Swamp Rabbits VS (AWAY) Vegas Golden Knights -> 2025-02-26, 10:35PM EST"
"(HOME) Hershey Bears VS (AWAY) Vancouver Canucks -> 2025-02-26, 10:35PM EST"
"(HOME) Iowa Heartlanders VS (AWAY) Utah HC -> 2025-02-26, 10:35PM EST"
"(HOME) Jacksonville Icemen VS (AWAY) Toronto Maple Leafs -> 2025-02-26, 10:35PM EST"
"(HOME) Lehigh Valley Phantoms VS (AWAY) Toeldo Walleye -> 2025-02-26, 10:35PM EST"
"(HOME) Los Angeles Kings VS (AWAY) TampaBay Lightning -> 2025-02-26, 10:35PM EST"
"(HOME) Manitoba Moose VS (AWAY) Syracuse Crunch -> 2025-02-26, 10:35PM EST"
"(HOME) Minnesota Wild VS (AWAY) Springfield Thunderbirds -> 2025-02-26, 10:35PM EST"
"(HOME) Montreal Canadiens VS (AWAY) San Jose Sharks -> 2025-02-26, 10:35PM EST"
"(HOME) New Haven Eagles VS (AWAY) Saint John Sea Dogs -> 2025-02-26, 10:35PM EST"
"(HOME) New Jersey Devils VS (AWAY) Pittsburgh Penguins -> 2025-02-26, 10:35PM EST"
"(HOME) New York Rangers VS (AWAY) Ontario Reign -> 2025-02-26, 10:35PM EST"
 
====================================================================================================
 
"(HOME) Columus Cottonmouths VS (AWAY) Washington Capitals -> 2025-02-27, 9:55PM EST"
"(HOME) Dallas Stars VS (AWAY) Cincinnati Mighty Ducks -> 2025-02-27, 9:55PM EST"
"(HOME) Detroit Red Wings VS (AWAY) Cincinnati Cyclones -> 2025-02-27, 9:55PM EST"
"(HOME) Edmonton Oilers VS (AWAY) Chicago Blackhawks -> 2025-02-27, 9:55PM EST"
"(HOME) Edmonton Road Runners VS (AWAY) Carolina Hurricanes -> 2025-02-27, 9:55PM EST"
"(HOME) Florida Panthers VS (AWAY) Calgary Flames -> 2025-02-27, 9:55PM EST"
"(HOME) Grand Rapids Griffins VS (AWAY) Brampton Beast -> 2025-02-27, 9:55PM EST"
"(HOME) Greenville Swamp Rabbits VS (AWAY) Bloomington Bison -> 2025-02-27, 9:55PM EST"
"(HOME) Hershey Bears VS (AWAY) Albany Devils -> 2025-02-27, 9:55PM EST"
"(HOME) Iowa Heartlanders VS (AWAY) Vegas Golden Knights -> 2025-02-27, 9:55PM EST"
"(HOME) Jacksonville Icemen VS (AWAY) Vancouver Canucks -> 2025-02-27, 9:55PM EST"
"(HOME) Lehigh Valley Phantoms VS (AWAY) Utah HC -> 2025-02-27, 9:55PM EST"
"(HOME) Los Angeles Kings VS (AWAY) Toronto Maple Leafs -> 2025-02-27, 9:55PM EST"
"(HOME) Manitoba Moose VS (AWAY) Toeldo Walleye -> 2025-02-27, 9:55PM EST"
"(HOME) Minnesota Wild VS (AWAY) TampaBay Lightning -> 2025-02-27, 9:55PM EST"
"(HOME) Montreal Canadiens VS (AWAY) Syracuse Crunch -> 2025-02-27, 9:55PM EST"
"(HOME) New Haven Eagles VS (AWAY) Springfield Thunderbirds -> 2025-02-27, 9:55PM EST"
"(HOME) New Jersey Devils VS (AWAY) San Jose Sharks -> 2025-02-27, 9:55PM EST"
"(HOME) New York Rangers VS (AWAY) Saint John Sea Dogs -> 2025-02-27, 9:55PM EST"
"(HOME) Ontario Reign VS (AWAY) Pittsburgh Penguins -> 2025-02-27, 9:55PM EST"
 
"(HOME) Dallas Stars VS (AWAY) Washington Capitals -> 2025-02-27, 10:35PM EST"
"(HOME) Detroit Red Wings VS (AWAY) Columus Cottonmouths -> 2025-02-27, 10:35PM EST"
"(HOME) Edmonton Oilers VS (AWAY) Cincinnati Mighty Ducks -> 2025-02-27, 10:35PM EST"
"(HOME) Edmonton Road Runners VS (AWAY) Cincinnati Cyclones -> 2025-02-27, 10:35PM EST"
"(HOME) Florida Panthers VS (AWAY) Chicago Blackhawks -> 2025-02-27, 10:35PM EST"
"(HOME) Grand Rapids Griffins VS (AWAY) Carolina Hurricanes -> 2025-02-27, 10:35PM EST"
"(HOME) Greenville Swamp Rabbits VS (AWAY) Calgary Flames -> 2025-02-27, 10:35PM EST"
"(HOME) Hershey Bears VS (AWAY) Brampton Beast -> 2025-02-27, 10:35PM EST"
"(HOME) Iowa Heartlanders VS (AWAY) Bloomington Bison -> 2025-02-27, 10:35PM EST"
"(HOME) Jacksonville Icemen VS (AWAY) Albany Devils -> 2025-02-27, 10:35PM EST"
"(HOME) Lehigh Valley Phantoms VS (AWAY) Vegas Golden Knights -> 2025-02-27, 10:35PM EST"
"(HOME) Los Angeles Kings VS (AWAY) Vancouver Canucks -> 2025-02-27, 10:35PM EST"
"(HOME) Manitoba Moose VS (AWAY) Utah HC -> 2025-02-27, 10:35PM EST"
"(HOME) Minnesota Wild VS (AWAY) Toronto Maple Leafs -> 2025-02-27, 10:35PM EST"
"(HOME) Montreal Canadiens VS (AWAY) Toeldo Walleye -> 2025-02-27, 10:35PM EST"
"(HOME) New Haven Eagles VS (AWAY) TampaBay Lightning -> 2025-02-27, 10:35PM EST"
"(HOME) New Jersey Devils VS (AWAY) Syracuse Crunch -> 2025-02-27, 10:35PM EST"
"(HOME) New York Rangers VS (AWAY) Springfield Thunderbirds -> 2025-02-27, 10:35PM EST"
"(HOME) Ontario Reign VS (AWAY) San Jose Sharks -> 2025-02-27, 10:35PM EST"
"(HOME) Pittsburgh Penguins VS (AWAY) Saint John Sea Dogs -> 2025-02-27, 10:35PM EST"
 
====================================================================================================
 
"(HOME) Detroit Red Wings VS (AWAY) Washington Capitals -> 2025-03-02, 9:55PM EST"
"(HOME) Edmonton Oilers VS (AWAY) Dallas Stars -> 2025-03-02, 9:55PM EST"
"(HOME) Edmonton Road Runners VS (AWAY) Columus Cottonmouths -> 2025-03-02, 9:55PM EST"
"(HOME) Florida Panthers VS (AWAY) Cincinnati Mighty Ducks -> 2025-03-02, 9:55PM EST"
"(HOME) Grand Rapids Griffins VS (AWAY) Cincinnati Cyclones -> 2025-03-02, 9:55PM EST"
"(HOME) Greenville Swamp Rabbits VS (AWAY) Chicago Blackhawks -> 2025-03-02, 9:55PM EST"
"(HOME) Hershey Bears VS (AWAY) Carolina Hurricanes -> 2025-03-02, 9:55PM EST"
"(HOME) Iowa Heartlanders VS (AWAY) Calgary Flames -> 2025-03-02, 9:55PM EST"
"(HOME) Jacksonville Icemen VS (AWAY) Brampton Beast -> 2025-03-02, 9:55PM EST"
"(HOME) Lehigh Valley Phantoms VS (AWAY) Bloomington Bison -> 2025-03-02, 9:55PM EST"
"(HOME) Los Angeles Kings VS (AWAY) Albany Devils -> 2025-03-02, 9:55PM EST"
"(HOME) Manitoba Moose VS (AWAY) Vegas Golden Knights -> 2025-03-02, 9:55PM EST"
"(HOME) Minnesota Wild VS (AWAY) Vancouver Canucks -> 2025-03-02, 9:55PM EST"
"(HOME) Montreal Canadiens VS (AWAY) Utah HC -> 2025-03-02, 9:55PM EST"
"(HOME) New Haven Eagles VS (AWAY) Toronto Maple Leafs -> 2025-03-02, 9:55PM EST"
"(HOME) New Jersey Devils VS (AWAY) Toeldo Walleye -> 2025-03-02, 9:55PM EST"
"(HOME) New York Rangers VS (AWAY) TampaBay Lightning -> 2025-03-02, 9:55PM EST"
"(HOME) Ontario Reign VS (AWAY) Syracuse Crunch -> 2025-03-02, 9:55PM EST"
"(HOME) Pittsburgh Penguins VS (AWAY) Springfield Thunderbirds -> 2025-03-02, 9:55PM EST"
"(HOME) Saint John Sea Dogs VS (AWAY) San Jose Sharks -> 2025-03-02, 9:55PM EST"
 
"(HOME) Edmonton Oilers VS (AWAY) Washington Capitals -> 2025-03-02, 10:35PM EST"
"(HOME) Edmonton Road Runners VS (AWAY) Detroit Red Wings -> 2025-03-02, 10:35PM EST"
"(HOME) Florida Panthers VS (AWAY) Dallas Stars -> 2025-03-02, 10:35PM EST"
"(HOME) Grand Rapids Griffins VS (AWAY) Columus Cottonmouths -> 2025-03-02, 10:35PM EST"
"(HOME) Greenville Swamp Rabbits VS (AWAY) Cincinnati Mighty Ducks -> 2025-03-02, 10:35PM EST"
"(HOME) Hershey Bears VS (AWAY) Cincinnati Cyclones -> 2025-03-02, 10:35PM EST"
"(HOME) Iowa Heartlanders VS (AWAY) Chicago Blackhawks -> 2025-03-02, 10:35PM EST"
"(HOME) Jacksonville Icemen VS (AWAY) Carolina Hurricanes -> 2025-03-02, 10:35PM EST"
"(HOME) Lehigh Valley Phantoms VS (AWAY) Calgary Flames -> 2025-03-02, 10:35PM EST"
"(HOME) Los Angeles Kings VS (AWAY) Brampton Beast -> 2025-03-02, 10:35PM EST"
"(HOME) Manitoba Moose VS (AWAY) Bloomington Bison -> 2025-03-02, 10:35PM EST"
"(HOME) Minnesota Wild VS (AWAY) Albany Devils -> 2025-03-02, 10:35PM EST"
"(HOME) Montreal Canadiens VS (AWAY) Vegas Golden Knights -> 2025-03-02, 10:35PM EST"
"(HOME) New Haven Eagles VS (AWAY) Vancouver Canucks -> 2025-03-02, 10:35PM EST"
"(HOME) New Jersey Devils VS (AWAY) Utah HC -> 2025-03-02, 10:35PM EST"
"(HOME) New York Rangers VS (AWAY) Toronto Maple Leafs -> 2025-03-02, 10:35PM EST"
"(HOME) Ontario Reign VS (AWAY) Toeldo Walleye -> 2025-03-02, 10:35PM EST"
"(HOME) Pittsburgh Penguins VS (AWAY) TampaBay Lightning -> 2025-03-02, 10:35PM EST"
"(HOME) Saint John Sea Dogs VS (AWAY) Syracuse Crunch -> 2025-03-02, 10:35PM EST"
"(HOME) San Jose Sharks VS (AWAY) Springfield Thunderbirds -> 2025-03-02, 10:35PM EST"
 
====================================================================================================
 
"(HOME) Edmonton Road Runners VS (AWAY) Washington Capitals -> 2025-03-03, 9:55PM EST"
"(HOME) Florida Panthers VS (AWAY) Edmonton Oilers -> 2025-03-03, 9:55PM EST"
"(HOME) Grand Rapids Griffins VS (AWAY) Detroit Red Wings -> 2025-03-03, 9:55PM EST"
"(HOME) Greenville Swamp Rabbits VS (AWAY) Dallas Stars -> 2025-03-03, 9:55PM EST"
"(HOME) Hershey Bears VS (AWAY) Columus Cottonmouths -> 2025-03-03, 9:55PM EST"
"(HOME) Iowa Heartlanders VS (AWAY) Cincinnati Mighty Ducks -> 2025-03-03, 9:55PM EST"
"(HOME) Jacksonville Icemen VS (AWAY) Cincinnati Cyclones -> 2025-03-03, 9:55PM EST"
"(HOME) Lehigh Valley Phantoms VS (AWAY) Chicago Blackhawks -> 2025-03-03, 9:55PM EST"
"(HOME) Los Angeles Kings VS (AWAY) Carolina Hurricanes -> 2025-03-03, 9:55PM EST"
"(HOME) Manitoba Moose VS (AWAY) Calgary Flames -> 2025-03-03, 9:55PM EST"
"(HOME) Minnesota Wild VS (AWAY) Brampton Beast -> 2025-03-03, 9:55PM EST"
"(HOME) Montreal Canadiens VS (AWAY) Bloomington Bison -> 2025-03-03, 9:55PM EST"
"(HOME) New Haven Eagles VS (AWAY) Albany Devils -> 2025-03-03, 9:55PM EST"
"(HOME) New Jersey Devils VS (AWAY) Vegas Golden Knights -> 2025-03-03, 9:55PM EST"
"(HOME) New York Rangers VS (AWAY) Vancouver Canucks -> 2025-03-03, 9:55PM EST"
"(HOME) Ontario Reign VS (AWAY) Utah HC -> 2025-03-03, 9:55PM EST"
"(HOME) Pittsburgh Penguins VS (AWAY) Toronto Maple Leafs -> 2025-03-03, 9:55PM EST"
"(HOME) Saint John Sea Dogs VS (AWAY) Toeldo Walleye -> 2025-03-03, 9:55PM EST"
"(HOME) San Jose Sharks VS (AWAY) TampaBay Lightning -> 2025-03-03, 9:55PM EST"
"(HOME) Springfield Thunderbirds VS (AWAY) Syracuse Crunch -> 2025-03-03, 9:55PM EST"
 
"(HOME) Florida Panthers VS (AWAY) Washington Capitals -> 2025-03-03, 10:35PM EST"
"(HOME) Grand Rapids Griffins VS (AWAY) Edmonton Road Runners -> 2025-03-03, 10:35PM EST"
"(HOME) Greenville Swamp Rabbits VS (AWAY) Edmonton Oilers -> 2025-03-03, 10:35PM EST"
"(HOME) Hershey Bears VS (AWAY) Detroit Red Wings -> 2025-03-03, 10:35PM EST"
