==================== AXHL PRE SEASON SCHEDULE - Created by Dakota ====================
Seed: 9041950532649856182
 
"Montreal Canadiens VS Saint John Sea Dogs -> 2025-02-16, 9:55PM EST"
"Calgary Flames VS Edmonton Oilers -> 2025-02-17, 9:55PM EST"
"Carolina Hurricanes VS Toronto Maple Leafs -> 2025-02-17, 9:55PM EST"
"Minnesota Wild VS Vegas Golden Knights -> 2025-02-17, 9:55PM EST"
 
"Columus Cottonmouths VS Springfield Thunderbirds -> 2025-02-17, 10:35PM EST"
"Toronto Maple Leafs VS Manitoba Moose -> 2025-02-17, 10:35PM EST"
"Cincinnati Cyclones VS Utah HC -> 2025-02-17, 10:35PM EST"
"New Haven Eagles VS Montreal Canadiens -> 2025-02-17, 10:35PM EST"
"Lehigh Valley Phantoms VS Detroit Red Wings -> 2025-02-17, 10:35PM EST"
"Washington Capitals VS Edmonton Road Runners -> 2025-02-17, 10:35PM EST"
"Minnesota Wild VS Syracuse Crunch -> 2025-02-17, 10:35PM EST"
"Los Angeles Kings VS Cincinnati Mighty Ducks -> 2025-02-17, 10:35PM EST"
"Ontario Reign VS Grand Rapids Griffins -> 2025-02-17, 10:35PM EST"
"New Jersey Devils VS New York Rangers -> 2025-02-17, 10:35PM EST"
"Chicago Blackhawks VS Greenville Swamp Rabbits -> 2025-02-17, 10:35PM EST"
"Toeldo Walleye VS Vegas Golden Knights -> 2025-02-17, 10:35PM EST"
"Hershey Bears VS Calgary Flames -> 2025-02-17, 10:35PM EST"
"Bloomington Bison VS Vancouver Canucks -> 2025-02-17, 10:35PM EST"
"Edmonton Oilers VS Florida Panthers -> 2025-02-17, 10:35PM EST"
"Iowa Heartlanders VS Albany Devils -> 2025-02-17, 10:35PM EST"
"Jacksonville Icemen VS Pittsburgh Penguins -> 2025-02-17, 10:35PM EST"
"San Jose Sharks VS Carolina Hurricanes -> 2025-02-17, 10:35PM EST"
"Brampton Beast VS Dallas Stars -> 2025-02-17, 10:35PM EST"
"TampaBay Lightning VS Saint John Sea Dogs -> 2025-02-17, 10:35PM EST"
 
====================================================================================================
 
"Springfield Thunderbirds VS Brampton Beast -> 2025-02-18, 9:55PM EST"
"Edmonton Road Runners VS Saint John Sea Dogs -> 2025-02-18, 9:55PM EST"
"Greenville Swamp Rabbits VS Montreal Canadiens -> 2025-02-18, 9:55PM EST"
"Albany Devils VS Pittsburgh Penguins -> 2025-02-18, 9:55PM EST"
"Syracuse Crunch VS Washington Capitals -> 2025-02-18, 9:55PM EST"
"New Haven Eagles VS Vegas Golden Knights -> 2025-02-18, 9:55PM EST"
"TampaBay Lightning VS New Jersey Devils -> 2025-02-18, 9:55PM EST"
"Jacksonville Icemen VS Vancouver Canucks -> 2025-02-18, 9:55PM EST"
"Detroit Red Wings VS Bloomington Bison -> 2025-02-18, 9:55PM EST"
"Utah HC VS Iowa Heartlanders -> 2025-02-18, 9:55PM EST"
"Carolina Hurricanes VS Florida Panthers -> 2025-02-18, 9:55PM EST"
"Minnesota Wild VS San Jose Sharks -> 2025-02-18, 9:55PM EST"
"Grand Rapids Griffins VS Cincinnati Mighty Ducks -> 2025-02-18, 9:55PM EST"
"New York Rangers VS Lehigh Valley Phantoms -> 2025-02-18, 9:55PM EST"
"Los Angeles Kings VS Columus Cottonmouths -> 2025-02-18, 9:55PM EST"
"Ontario Reign VS Manitoba Moose -> 2025-02-18, 9:55PM EST"
"Dallas Stars VS Calgary Flames -> 2025-02-18, 9:55PM EST"
"Cincinnati Cyclones VS Toronto Maple Leafs -> 2025-02-18, 9:55PM EST"
"Hershey Bears VS Toeldo Walleye -> 2025-02-18, 9:55PM EST"
"Edmonton Oilers VS Chicago Blackhawks -> 2025-02-18, 9:55PM EST"
 
"Pittsburgh Penguins VS Washington Capitals -> 2025-02-18, 10:35PM EST"
"Calgary Flames VS Detroit Red Wings -> 2025-02-18, 10:35PM EST"
"Brampton Beast VS Edmonton Road Runners -> 2025-02-18, 10:35PM EST"
"Hershey Bears VS Minnesota Wild -> 2025-02-18, 10:35PM EST"
"Florida Panthers VS Manitoba Moose -> 2025-02-18, 10:35PM EST"
"Ontario Reign VS Vancouver Canucks -> 2025-02-18, 10:35PM EST"
"Dallas Stars VS New York Rangers -> 2025-02-18, 10:35PM EST"
"New Jersey Devils VS Syracuse Crunch -> 2025-02-18, 10:35PM EST"
"Albany Devils VS Vegas Golden Knights -> 2025-02-18, 10:35PM EST"
"Cincinnati Cyclones VS Carolina Hurricanes -> 2025-02-18, 10:35PM EST"
"TampaBay Lightning VS Chicago Blackhawks -> 2025-02-18, 10:35PM EST"
"Utah HC VS Edmonton Oilers -> 2025-02-18, 10:35PM EST"
"Columus Cottonmouths VS Montreal Canadiens -> 2025-02-18, 10:35PM EST"
"Iowa Heartlanders VS Toeldo Walleye -> 2025-02-18, 10:35PM EST"
"Lehigh Valley Phantoms VS Los Angeles Kings -> 2025-02-18, 10:35PM EST"
"San Jose Sharks VS Jacksonville Icemen -> 2025-02-18, 10:35PM EST"
"Springfield Thunderbirds VS Grand Rapids Griffins -> 2025-02-18, 10:35PM EST"
"Bloomington Bison VS Saint John Sea Dogs -> 2025-02-18, 10:35PM EST"
"Toronto Maple Leafs VS New Haven Eagles -> 2025-02-18, 10:35PM EST"
"Cincinnati Mighty Ducks VS Greenville Swamp Rabbits -> 2025-02-18, 10:35PM EST"
 
====================================================================================================
 
"Grand Rapids Griffins VS Jacksonville Icemen -> 2025-02-19, 9:55PM EST"
"Los Angeles Kings VS Calgary Flames -> 2025-02-19, 9:55PM EST"
"Iowa Heartlanders VS Minnesota Wild -> 2025-02-19, 9:55PM EST"
"New York Rangers VS Cincinnati Cyclones -> 2025-02-19, 9:55PM EST"
"Pittsburgh Penguins VS Manitoba Moose -> 2025-02-19, 9:55PM EST"
"Bloomington Bison VS Carolina Hurricanes -> 2025-02-19, 9:55PM EST"
"Florida Panthers VS Albany Devils -> 2025-02-19, 9:55PM EST"
"Hershey Bears VS Ontario Reign -> 2025-02-19, 9:55PM EST"
"Cincinnati Mighty Ducks VS TampaBay Lightning -> 2025-02-19, 9:55PM EST"
"Vancouver Canucks VS Dallas Stars -> 2025-02-19, 9:55PM EST"
"San Jose Sharks VS Toronto Maple Leafs -> 2025-02-19, 9:55PM EST"
"Greenville Swamp Rabbits VS Edmonton Road Runners -> 2025-02-19, 9:55PM EST"
"Vegas Golden Knights VS Chicago Blackhawks -> 2025-02-19, 9:55PM EST"
"Syracuse Crunch VS Columus Cottonmouths -> 2025-02-19, 9:55PM EST"
"Springfield Thunderbirds VS Washington Capitals -> 2025-02-19, 9:55PM EST"
"Detroit Red Wings VS Saint John Sea Dogs -> 2025-02-19, 9:55PM EST"
"Toeldo Walleye VS New Haven Eagles -> 2025-02-19, 9:55PM EST"
"Lehigh Valley Phantoms VS Utah HC -> 2025-02-19, 9:55PM EST"
"Montreal Canadiens VS Edmonton Oilers -> 2025-02-19, 9:55PM EST"
"Brampton Beast VS New Jersey Devils -> 2025-02-19, 9:55PM EST"
 
"Washington Capitals VS Columus Cottonmouths -> 2025-02-19, 10:35PM EST"
"Hershey Bears VS Los Angeles Kings -> 2025-02-19, 10:35PM EST"
"New Jersey Devils VS Utah HC -> 2025-02-19, 10:35PM EST"
"Chicago Blackhawks VS Cincinnati Cyclones -> 2025-02-19, 10:35PM EST"
"Lehigh Valley Phantoms VS Albany Devils -> 2025-02-19, 10:35PM EST"
"Syracuse Crunch VS New York Rangers -> 2025-02-19, 10:35PM EST"
"Jacksonville Icemen VS Carolina Hurricanes -> 2025-02-19, 10:35PM EST"
"Bloomington Bison VS Montreal Canadiens -> 2025-02-19, 10:35PM EST"
"TampaBay Lightning VS Minnesota Wild -> 2025-02-19, 10:35PM EST"
"Greenville Swamp Rabbits VS Manitoba Moose -> 2025-02-19, 10:35PM EST"
"San Jose Sharks VS Cincinnati Mighty Ducks -> 2025-02-19, 10:35PM EST"
"Florida Panthers VS Vegas Golden Knights -> 2025-02-19, 10:35PM EST"
"Saint John Sea Dogs VS Springfield Thunderbirds -> 2025-02-19, 10:35PM EST"
"Toeldo Walleye VS Vancouver Canucks -> 2025-02-19, 10:35PM EST"
"Detroit Red Wings VS Brampton Beast -> 2025-02-19, 10:35PM EST"
"New Haven Eagles VS Iowa Heartlanders -> 2025-02-19, 10:35PM EST"
"Toronto Maple Leafs VS Edmonton Oilers -> 2025-02-19, 10:35PM EST"
"Edmonton Road Runners VS Ontario Reign -> 2025-02-19, 10:35PM EST"
"Dallas Stars VS Grand Rapids Griffins -> 2025-02-19, 10:35PM EST"
"Calgary Flames VS Pittsburgh Penguins -> 2025-02-19, 10:35PM EST"
 
====================================================================================================
 
"Vegas Golden Knights VS Montreal Canadiens -> 2025-02-20, 9:55PM EST"
"Florida Panthers VS Edmonton Road Runners -> 2025-02-20, 9:55PM EST"
"TampaBay Lightning VS Columus Cottonmouths -> 2025-02-20, 9:55PM EST"
"Albany Devils VS New Jersey Devils -> 2025-02-20, 9:55PM EST"
"Los Angeles Kings VS Springfield Thunderbirds -> 2025-02-20, 9:55PM EST"
"Toronto Maple Leafs VS Brampton Beast -> 2025-02-20, 9:55PM EST"
"Manitoba Moose VS Jacksonville Icemen -> 2025-02-20, 9:55PM EST"
"Greenville Swamp Rabbits VS Washington Capitals -> 2025-02-20, 9:55PM EST"
"Saint John Sea Dogs VS Chicago Blackhawks -> 2025-02-20, 9:55PM EST"
"Ontario Reign VS Toeldo Walleye -> 2025-02-20, 9:55PM EST"
"Calgary Flames VS Cincinnati Cyclones -> 2025-02-20, 9:55PM EST"
"Syracuse Crunch VS Detroit Red Wings -> 2025-02-20, 9:55PM EST"
"Vancouver Canucks VS Pittsburgh Penguins -> 2025-02-20, 9:55PM EST"
"Lehigh Valley Phantoms VS Bloomington Bison -> 2025-02-20, 9:55PM EST"
"Carolina Hurricanes VS Dallas Stars -> 2025-02-20, 9:55PM EST"
"New Haven Eagles VS Hershey Bears -> 2025-02-20, 9:55PM EST"
"San Jose Sharks VS Edmonton Oilers -> 2025-02-20, 9:55PM EST"
"New York Rangers VS Utah HC -> 2025-02-20, 9:55PM EST"
"Minnesota Wild VS Cincinnati Mighty Ducks -> 2025-02-20, 9:55PM EST"
"Iowa Heartlanders VS Grand Rapids Griffins -> 2025-02-20, 9:55PM EST"
 
"Chicago Blackhawks VS Carolina Hurricanes -> 2025-02-20, 10:35PM EST"
"Detroit Red Wings VS New York Rangers -> 2025-02-20, 10:35PM EST"
"Lehigh Valley Phantoms VS Edmonton Road Runners -> 2025-02-20, 10:35PM EST"
"Jacksonville Icemen VS Montreal Canadiens -> 2025-02-20, 10:35PM EST"
"Cincinnati Cyclones VS Columus Cottonmouths -> 2025-02-20, 10:35PM EST"
"Minnesota Wild VS Saint John Sea Dogs -> 2025-02-20, 10:35PM EST"
"TampaBay Lightning VS Grand Rapids Griffins -> 2025-02-20, 10:35PM EST"
"Pittsburgh Penguins VS New Haven Eagles -> 2025-02-20, 10:35PM EST"
"Cincinnati Mighty Ducks VS Hershey Bears -> 2025-02-20, 10:35PM EST"
"Syracuse Crunch VS Dallas Stars -> 2025-02-20, 10:35PM EST"
"Ontario Reign VS San Jose Sharks -> 2025-02-20, 10:35PM EST"
"Calgary Flames VS Iowa Heartlanders -> 2025-02-20, 10:35PM EST"
"Springfield Thunderbirds VS New Jersey Devils -> 2025-02-20, 10:35PM EST"
"Toeldo Walleye VS Bloomington Bison -> 2025-02-20, 10:35PM EST"
"Toronto Maple Leafs VS Vancouver Canucks -> 2025-02-20, 10:35PM EST"
"Brampton Beast VS Vegas Golden Knights -> 2025-02-20, 10:35PM EST"
"Greenville Swamp Rabbits VS Albany Devils -> 2025-02-20, 10:35PM EST"
"Washington Capitals VS Florida Panthers -> 2025-02-20, 10:35PM EST"
"Edmonton Oilers VS Manitoba Moose -> 2025-02-20, 10:35PM EST"
"Utah HC VS Los Angeles Kings -> 2025-02-20, 10:35PM EST"
 
====================================================================================================
 
